gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
125521,29454-A-1,,URU,ARG,Q3,2:17,40,55,14,ARG,409023,Joaquin,Celiz,9,FT,1st free throw made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,2:17,40,55,14,ARG,408871,Manuel,Hernandez,4,FT,1st of 3 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,2:17,40,56,14,ARG,408871,Manuel,Hernandez,4,FT,2nd of 3 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,2:17,40,57,14,ARG,408871,Manuel,Hernandez,4,FT,3rd of 3 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,1:54,42,57,155,URU,407401,Lucas,Orozco,22,P2,"2PtsFG under the basket, layup made",1,2,2PT,142,27
125521,29454-A-1,,URU,ARG,Q3,1:31,42,57,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,204,159
125521,29454-A-1,,URU,ARG,Q3,1:26,42,57,14,ARG,409023,Joaquin,Celiz,9,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,128,36
125521,29454-A-1,,URU,ARG,Q3,1:22,42,59,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, jump shot made",1,2,2PT,149,24
125521,29454-A-1,,URU,ARG,Q3,1:22,42,59,14,ARG,409021,Elias,Torrens,7,FT,free throw missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,0:59,42,59,155,URU,408047,Thiago,Michaelsson,21,P2,"2PtsFG under the basket, turnaround jump shot missed",0,2,2PT,137,27
125521,29454-A-1,,URU,ARG,Q3,0:44,42,59,14,ARG,409023,Joaquin,Celiz,9,P2,layup missed,0,2,2PT,114,45
125521,29454-A-1,,URU,ARG,Q3,0:39,44,59,155,URU,407936,Lautaro,Gomez,10,P2,"2PtsFG under the basket, fast break, driving layup made",1,2,2PT,127,34
125521,29454-A-1,,URU,ARG,Q3,0:39,44,59,155,URU,407936,Lautaro,Gomez,10,FT,1st free throw missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q3,0:25,44,62,14,ARG,409023,Joaquin,Celiz,9,P3,3pt fadeaway jump shot made,1,3,3PT,87,166
125521,29454-A-1,,URU,ARG,Q4,9:50,44,62,14,ARG,355917,Facundo,Cornalis,5,P2,"2PtsFG under the basket, layup missed",0,2,2PT,158,27
