gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
130879,30373-A-1,,USA,ARG,Q2,5:23,31,22,154,USA,416453,Malachi,Jordan,5,P2,"2PtsFG under the basket, points from second chance + after turnover missed",0,2,2PT,140,31
130879,30373-A-1,,USA,ARG,Q2,5:16,31,22,14,ARG,408871,Manuel,Hernandez,4,P3,3pt jump shot missed,0,3,3PT,235,133
130879,30373-A-1,,USA,ARG,Q2,5:16,33,22,154,USA,410509,Bruce,Branch III,8,P2,"2PtsFG under the basket, layup made",1,2,2PT,151,41
130879,30373-A-1,,USA,ARG,Q2,4:56,34,22,154,USA,410509,Bruce,Branch III,8,FT,1st free throw made,1,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q2,4:37,34,24,14,ARG,398746,Roman,Moravansky,11,P2,"2PtsFG under the basket, driving layup made",1,2,2PT,134,33
130879,30373-A-1,,USA,ARG,Q2,4:18,34,24,154,USA,416453,Malachi,Jordan,5,P3,3pt jump shot missed,0,3,3PT,28,111
130879,30373-A-1,,USA,ARG,Q2,4:04,34,24,14,ARG,409023,Joaquin,Celiz,9,P3,3pt jump shot missed,0,3,3PT,205,173
130879,30373-A-1,,USA,ARG,Q2,3:44,34,26,14,ARG,408872,Bautista,Gobetti,6,P2,"2PtsFG under the basket, points after turnover, driving layup made",1,2,2PT,125,33
130879,30373-A-1,,USA,ARG,Q2,3:34,37,26,154,USA,410526,Davion,Thompson,6,P3,3pt step back jump shot made,1,3,3PT,252,108
130879,30373-A-1,,USA,ARG,Q2,3:05,37,26,154,USA,416558,Quentin,Coleman,11,P2,"2PtsFG under the basket, points after turnover, driving layup missed",0,2,2PT,130,31
130879,30373-A-1,,USA,ARG,Q2,2:32,37,26,14,ARG,408872,Bautista,Gobetti,6,P3,3pt jump shot missed,0,3,3PT,210,143
130879,30373-A-1,,USA,ARG,Q2,2:28,37,26,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,245,117
130879,30373-A-1,,USA,ARG,Q2,2:19,37,26,14,ARG,408857,Joaquin,Caumo,10,P2,"2PtsFG inside right, points after turnover, jump shot missed",0,2,2PT,210,60
