Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
11/12/2025,VISITANTE,URU,COL,19,FATA,GABRIEL,"FATA, G.",1387,23:7,5,2,3,66.7,0,5,0.0,1,2,50.0,8,1,9,2,2,1,0,0,3,2,10,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,6
11/12/2025,VISITANTE,URU,COL,21,MICHAELSSON,THIAGO,"MICHAELSSON, T.",837,13:57,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,3,1,0,0,0,0,1,5,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,12
11/12/2025,VISITANTE,URU,COL,22,OROZCO,LUCAS,"OROZCO, L.",1163,19:23,3,0,1,0.0,1,2,50.0,0,0,0.0,0,0,0,5,1,2,0,0,0,1,5,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,1,8
11/12/2025,VISITANTE,URU,COL,29,GUZZETTI,JUAN,"GUZZETTI, J.",229,3:49,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,2,0,1,1,"Estadio Primero de Marzo, Asunción",125523,Grupo A,0,-5
11/12/2025,LOCAL,ARG,ECU,2,PETTOVELLO,BENJAMIN,"PETTOVELLO, B.",926,15:26,8,2,2,100.0,1,1,100.0,1,1,100.0,3,1,4,1,1,2,1,0,0,2,13,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,28
11/12/2025,LOCAL,ARG,ECU,4,HERNANDEZ,MANUEL,"HERNANDEZ, M.",1049,17:29,14,1,3,33.3,4,9,44.4,0,2,0.0,4,1,5,2,3,0,0,0,1,1,15,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,36
11/12/2025,LOCAL,ARG,ECU,5,CORNALIS,FACUNDO,"CORNALIS, F.",1016,16:56,2,1,1,100.0,0,4,0.0,0,0,0.0,1,0,1,0,1,0,1,0,0,0,1,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,33
11/12/2025,LOCAL,ARG,ECU,6,GOBETTI,BAUTISTA,"GOBETTI, B.",1293,21:33,9,1,5,20.0,1,4,25.0,4,6,66.7,4,0,4,1,1,0,0,0,0,3,6,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,46
11/12/2025,LOCAL,ARG,ECU,7,TORRENS,ELIAS,"TORRENS, E.",640,10:40,19,8,9,88.9,0,0,0.0,3,3,100.0,2,3,5,1,1,0,1,0,0,3,26,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,23
11/12/2025,LOCAL,ARG,ECU,8,AMAN,GONZALO,"AMAN, G.",780,13:0,6,2,5,40.0,0,2,0.0,2,3,66.7,2,1,3,3,1,0,0,0,1,1,7,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,20
11/12/2025,LOCAL,ARG,ECU,9,CELIZ,JOAQUIN,"CELIZ, J.",960,16:0,16,5,8,62.5,2,3,66.7,0,0,0.0,3,0,3,6,2,1,0,0,0,1,22,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,34
11/12/2025,LOCAL,ARG,ECU,10,CAUMO,JOAQUIN,"CAUMO, J.",849,14:9,18,3,3,100.0,4,4,100.0,0,0,0.0,0,0,0,3,2,1,0,0,2,0,22,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,29
11/12/2025,LOCAL,ARG,ECU,11,MORAVANSKY,ROMAN,"MORAVANSKY, R.",1014,16:54,5,1,3,33.3,1,2,50.0,0,0,0.0,1,1,2,8,3,0,0,0,0,0,15,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,39
11/12/2025,LOCAL,ARG,ECU,12,FESSIA,MATEO,"FESSIA, M.",1305,21:45,7,0,1,0.0,2,3,66.7,1,2,50.0,7,0,7,1,1,3,1,0,2,1,11,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,52
11/12/2025,LOCAL,ARG,ECU,14,PETTINAROLI,SANTIAGO,"PETTINAROLI, S.",964,16:4,15,2,6,33.3,3,6,50.0,2,2,100.0,1,2,3,2,1,0,0,0,1,1,14,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,32
11/12/2025,LOCAL,ARG,ECU,15,MARQUEZ,JUAN,"MARQUEZ, J.",1204,20:4,7,3,5,60.0,0,0,0.0,1,2,50.0,7,3,10,3,2,0,1,0,1,1,20,1,"Estadio Primero de Marzo, Asunción",125524,Grupo A,0,43
11/12/2025,VISITANTE,ECU,ARG,1,CEVALLOS,MICHAEL,"CEVALLOS, M.",1051,17:31,3,0,1,0.0,1,2,50.0,0,0,0.0,3,0,3,1,0,2,0,0,2,0,3,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,-35
11/12/2025,VISITANTE,ECU,ARG,2,CASTILLO,JUAN,"CASTILLO, J.",1588,26:28,18,3,5,60.0,4,9,44.4,0,0,0.0,5,0,5,4,0,8,0,0,0,4,12,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,-46
11/12/2025,VISITANTE,ECU,ARG,7,DAZA,JOSÉ,"DAZA, J.",1069,17:49,2,1,5,20.0,0,0,0.0,0,0,0.0,4,0,4,0,1,1,0,0,1,1,2,0,"Estadio Primero de Marzo, Asunción",125524,Grupo A,1,-23
