Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
01/06/2026,LOCAL,DOM,PUR,27,VALERA,ENMANUEL,"VALERA, E.",1657,27:37,13,0,8,0.0,2,7,28.6,7,10,70.0,8,1,9,1,1,2,1,0,1,5,7,1,"Domo de la Feria, León, México",130885,Grupo B,1,29
01/06/2026,LOCAL,DOM,PUR,25,ROMERO,RODERI,"ROMERO, R.",1195,19:55,9,4,4,100.0,0,0,0.0,1,2,50.0,6,2,8,0,0,0,1,0,2,1,17,1,"Domo de la Feria, León, México",130885,Grupo B,1,15
01/06/2026,LOCAL,DOM,PUR,24,MONTERO,RAYNER,"MONTERO, R.",1527,25:27,7,2,4,50.0,0,2,0.0,3,4,75.0,5,5,10,1,0,1,3,0,2,3,15,1,"Domo de la Feria, León, México",130885,Grupo B,0,17
01/06/2026,LOCAL,DOM,PUR,12,VALDEZ,LUIS,"VALDEZ, L.",480,8:0,2,1,2,50.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,3,1,1,1,"Domo de la Feria, León, México",130885,Grupo B,0,7
01/06/2026,LOCAL,DOM,PUR,10,MARTINEZ,MARLON,"MARTINEZ, M.",1178,19:38,14,4,4,100.0,2,4,50.0,0,0,0.0,2,0,2,4,2,1,0,0,0,0,19,1,"Domo de la Feria, León, México",130885,Grupo B,1,23
01/06/2026,LOCAL,DOM,PUR,8,GOMEZ,DEREK,"GOMEZ, D.",1151,19:11,7,1,4,25.0,1,5,20.0,2,2,100.0,2,1,3,2,1,3,1,0,4,1,4,1,"Domo de la Feria, León, México",130885,Grupo B,1,11
01/06/2026,LOCAL,DOM,PUR,7,PARREÑO,ANGEL,"PARREÑO, A.",327,5:27,2,1,2,50.0,0,1,0.0,0,0,0.0,0,0,0,1,0,1,0,0,0,0,0,1,"Domo de la Feria, León, México",130885,Grupo B,0,1
01/06/2026,LOCAL,DOM,PUR,5,LIZ,JACK,"LIZ, J.",924,15:24,9,2,3,66.7,1,1,100.0,2,4,50.0,3,1,4,2,4,2,0,0,0,2,14,1,"Domo de la Feria, León, México",130885,Grupo B,0,7
01/06/2026,LOCAL,DOM,PUR,4,CAMACHO,BRAYAN,"CAMACHO, B.",1096,18:16,14,2,2,100.0,2,3,66.7,4,4,100.0,0,0,0,1,1,1,0,0,2,2,14,1,"Domo de la Feria, León, México",130885,Grupo B,0,11
01/06/2026,LOCAL,DOM,PUR,3,SANTANA,BRAYAN,"SANTANA, B.",439,7:19,2,1,4,25.0,0,0,0.0,0,0,0.0,0,0,0,1,3,0,0,0,0,0,3,1,"Domo de la Feria, León, México",130885,Grupo B,0,-4
01/06/2026,LOCAL,DOM,PUR,0,PEMBERTON,ANTONIO,"PEMBERTON, A.",1895,31:35,21,6,10,60.0,2,6,33.3,3,4,75.0,7,1,8,7,1,3,0,0,3,4,25,1,"Domo de la Feria, León, México",130885,Grupo B,1,27
01/06/2026,VISITANTE,PUR,DOM,21,QUINONES,FELIPE,"QUINONES, F.",1497,24:57,7,2,6,33.3,0,1,0.0,3,4,75.0,2,2,4,3,1,2,0,0,2,5,7,0,"Domo de la Feria, León, México",130885,Grupo B,1,-14
01/06/2026,VISITANTE,PUR,DOM,20,RODRIGUEZ,DARELL,"RODRIGUEZ, D.",458,7:38,2,1,3,33.3,0,0,0.0,0,1,0.0,0,0,0,0,0,0,1,0,1,1,0,0,"Domo de la Feria, León, México",130885,Grupo B,0,-4
01/06/2026,VISITANTE,PUR,DOM,15,NARVAEZ,LENUEL,"NARVAEZ, L.",1134,18:54,6,3,5,60.0,0,1,0.0,0,1,0.0,4,1,5,0,0,0,3,0,1,1,10,0,"Domo de la Feria, León, México",130885,Grupo B,1,-26
01/06/2026,VISITANTE,PUR,DOM,14,RIVERA,JAMES,"RIVERA, J.",764,12:44,7,3,6,50.0,0,3,0.0,1,2,50.0,3,2,5,0,0,2,0,0,1,3,3,0,"Domo de la Feria, León, México",130885,Grupo B,1,-20
01/06/2026,VISITANTE,PUR,DOM,13,BERNARD,JOMAR,"BERNARD, J.",1275,21:15,10,2,8,25.0,0,3,0.0,6,8,75.0,4,2,6,0,1,4,1,0,3,5,3,0,"Domo de la Feria, León, México",130885,Grupo B,1,-11
01/06/2026,VISITANTE,PUR,DOM,12,SALABERRIOS,DERICK,"SALABERRIOS, D.",1076,17:56,10,5,7,71.4,0,1,0.0,0,0,0.0,4,2,6,1,2,2,0,0,2,0,14,0,"Domo de la Feria, León, México",130885,Grupo B,0,-16
